[Topology] mesh=2x2 (4 nodes), 4 cores, 0 DRAM controllers (direct, bypass NoC)
[AddressAllocator] Allocated 3729 transfer blocks, total 5059529.32 MB (alignment=64B)
[Simulator] Loaded IR: 2x2 cores, top_batch_cut=1
[Simulator] Total workloads: 1725, DRAM reads: 376, DRAM writes: 861
[BookSim2NoC] Initialized 2x2 mesh (4 nodes), 8 VCs, 1 subnets (from inline config)
[Ramulator2DRAM] Initialized from inline config (HBM HBM_2Gbps), yaml_clock_ratio=1, sim_clock_ratio=1.00, channels=4, cache_line=64B
[Simulator] Starting simulation...
[Simulator] Cycle 20200000, cores done: 0/4, workloads completed: 220/1725 (12.8%)
[Deadlock] Cycle detected at cycle 20200000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 50, completed 50)
[Simulator] Cycle 20300000, cores done: 0/4, workloads completed: 221/1725 (12.8%)
[Simulator] Cycle 20400000, cores done: 0/4, workloads completed: 222/1725 (12.9%)
[Simulator] Cycle 20500000, cores done: 0/4, workloads completed: 222/1725 (12.9%)
[Simulator] Cycle 20600000, cores done: 0/4, workloads completed: 222/1725 (12.9%)
[Simulator] Cycle 20700000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Simulator] Cycle 20800000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Simulator] Cycle 20900000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Simulator] Cycle 21000000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Simulator] Cycle 21100000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Simulator] Cycle 21200000, cores done: 0/4, workloads completed: 223/1725 (12.9%)
[Deadlock] Cycle detected at cycle 21200000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 51, completed 51)
[Simulator] Cycle 21300000, cores done: 0/4, workloads completed: 224/1725 (13.0%)
[Simulator] Cycle 21400000, cores done: 0/4, workloads completed: 225/1725 (13.0%)
[Simulator] Cycle 21500000, cores done: 0/4, workloads completed: 225/1725 (13.0%)
[Simulator] Cycle 21600000, cores done: 0/4, workloads completed: 225/1725 (13.0%)
[Simulator] Cycle 21700000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Simulator] Cycle 21800000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Simulator] Cycle 21900000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Simulator] Cycle 22000000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Simulator] Cycle 22100000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Simulator] Cycle 22200000, cores done: 0/4, workloads completed: 226/1725 (13.1%)
[Deadlock] Cycle detected at cycle 22200000: C2 -> C3 -> C2
[Deadlock] Force-advancing core 2 (workload 52, completed 52)
[Simulator] Cycle 22300000, cores done: 0/4, workloads completed: 227/1725 (13.2%)
[Simulator] Cycle 22400000, cores done: 0/4, workloads completed: 228/1725 (13.2%)
[Simulator] Cycle 22500000, cores done: 0/4, workloads completed: 228/1725 (13.2%)
[Simulator] Cycle 22600000, cores done: 0/4, workloads completed: 229/1725 (13.3%)
[Simulator] Cycle 22700000, cores done: 0/4, workloads completed: 230/1725 (13.3%)
[Simulator] Cycle 22800000, cores done: 0/4, workloads completed: 230/1725 (13.3%)
[Simulator] Cycle 22900000, cores done: 0/4, workloads completed: 231/1725 (13.4%)
[Simulator] Cycle 23000000, cores done: 0/4, workloads completed: 231/1725 (13.4%)
[Simulator] Cycle 23100000, cores done: 0/4, workloads completed: 232/1725 (13.4%)
[Simulator] Cycle 23200000, cores done: 0/4, workloads completed: 232/1725 (13.4%)
[Simulator] Cycle 23300000, cores done: 0/4, workloads completed: 232/1725 (13.4%)
[Simulator] Cycle 23400000, cores done: 0/4, workloads completed: 233/1725 (13.5%)
[Simulator] Cycle 23500000, cores done: 0/4, workloads completed: 233/1725 (13.5%)
[Simulator] Cycle 23600000, cores done: 0/4, workloads completed: 234/1725 (13.6%)
[Simulator] Cycle 23700000, cores done: 0/4, workloads completed: 235/1725 (13.6%)
[Simulator] Cycle 23800000, cores done: 0/4, workloads completed: 235/1725 (13.6%)
[Simulator] Cycle 23900000, cores done: 0/4, workloads completed: 235/1725 (13.6%)
[Simulator] Cycle 24000000, cores done: 0/4, workloads completed: 237/1725 (13.7%)
[Simulator] Cycle 24100000, cores done: 0/4, workloads completed: 237/1725 (13.7%)
