cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
9354,0,COMPUTING,WRITEBACK,12,conv_2_0_b,"writeback_to_dram"
9427,3,LOADING,COMPUTING,10,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=324,loading_core_cycles=0"
9428,3,COMPUTING,WRITEBACK,10,conv_2_0_a,"writeback_to_dram"
9499,0,WRITEBACK,IDLE,13,conv_2_0_b,"writeback_complete"
9500,0,IDLE,LOADING,13,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t76(DRAM,103936B),t82(DRAM,103936B)]"
9519,3,WRITEBACK,IDLE,11,conv_2_0_a,"writeback_complete"
9520,3,IDLE,LOADING,11,conv_2_0_a,"waiting_for=[t49(DRAM,2048B),t62(DRAM,100352B),t69(DRAM,103936B)]"
9550,2,LOADING,COMPUTING,11,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=260,loading_core_cycles=0"
9551,2,COMPUTING,WRITEBACK,11,conv_2_0_a,"writeback_to_dram"
9642,1,LOADING,COMPUTING,12,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=332,loading_core_cycles=0"
9643,1,COMPUTING,WRITEBACK,12,conv_2_0_b,"writeback_to_dram"
9708,2,WRITEBACK,IDLE,12,conv_2_0_b,"writeback_complete"
9709,2,IDLE,LOADING,12,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t74(DRAM,103936B),t81(DRAM,103936B)]"
9728,1,WRITEBACK,IDLE,13,conv_2_0_b,"writeback_complete"
9729,1,IDLE,LOADING,13,conv_2_0_b,"waiting_for=[t75(DRAM,18432B),t81(DRAM,103936B),t87(DRAM,103936B)]"
9770,0,LOADING,COMPUTING,13,conv_2_0_b,"compute_cycles=0,loading_dram_cycles=270,loading_core_cycles=0"
9771,0,COMPUTING,WRITEBACK,13,conv_2_0_b,"writeback_to_dram"
9848,3,LOADING,COMPUTING,11,conv_2_0_a,"compute_cycles=0,loading_dram_cycles=328,loading_core_cycles=0"
9849,3,COMPUTING,WRITEBACK,11,conv_2_0_a,"writeback_to_dram"
9925,0,WRITEBACK,IDLE,14,conv_2_0_b,"writeback_complete"
9926,0,IDLE,LOADING,14,conv_2_0_b,"waiting_for=[t68(DRAM,18432B),t82(DRAM,103936B),t88(DRAM,103936B)]"
9945,3,WRITEBACK,IDLE,12,conv_2_0_b,"writeback_complete"
