cycle,core_id,old_state,new_state,workload_idx,layer_name,detail
3268,14,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
3274,10,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3275,10,IDLE,LOADING,4,pool1,"waiting_for=[t42(DRAM,51072B),t74(DRAM,51072B)]"
3326,15,LOADING,COMPUTING,3,conv1,"compute_cycles=0,loading_dram_cycles=413,loading_core_cycles=0"
3327,15,COMPUTING,WRITEBACK,3,conv1,"writeback_to_dram"
3398,0,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=430,loading_core_cycles=0"
3415,11,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3416,11,IDLE,LOADING,4,pool1,"waiting_for=[t49(DRAM,51072B),t81(DRAM,51072B)]"
3434,1,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=446,loading_core_cycles=0"
3478,2,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=471,loading_core_cycles=0"
3533,3,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=506,loading_core_cycles=0"
3575,4,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=529,loading_core_cycles=0"
3594,0,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
3615,5,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=549,loading_core_cycles=0"
3630,1,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
3655,6,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=569,loading_core_cycles=0"
3674,2,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
3675,12,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3676,12,IDLE,LOADING,4,pool1,"waiting_for=[t27(DRAM,50176B),t59(DRAM,50176B)]"
3696,7,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=553,loading_core_cycles=0"
3729,3,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
3735,13,WRITEBACK,IDLE,4,pool1,"writeback_complete"
3736,8,LOADING,COMPUTING,4,pool1,"compute_cycles=196,loading_dram_cycles=574,loading_core_cycles=0"
3736,13,IDLE,LOADING,4,pool1,"waiting_for=[t28(DRAM,51984B),t60(DRAM,51984B)]"
3771,4,COMPUTING,WRITEBACK,4,pool1,"writeback_to_dram"
